Rank,Name,Age,Net Worth,Country,Source,Industries
68,RUPERT MURDOCH & FAMILY,89,14.9,United States,"newspapers, TV network",Media & Entertainment
70,ZHONG HUIJUAN,59,14.6,China,pharmaceuticals,Healthcare
70,LEONARD LAUDER,83,14.6,United States,Estee Lauder,Fashion & Retail
72,GENNADY TIMCHENKO,67,14.4,Russia,"oil, gas",Energy
73,THOMAS PETERFFY,75,14.3,United States,discount brokerage,Finance & Investments
74,KLAUS-MICHAEL KUEHNE,82,14.2,Germany,shipping,Logistics
75,LEE KUN-HEE,78,14.1,South Korea,Samsung,Diversified
76,WANG JIANLIN,65,14,China,real estate,Real Estate
77,STEVE COHEN,63,13.9,United States,hedge funds,Finance & Investments
78,RADHAKISHAN DAMANI & FAMILY,65,13.8,India,"retail, investments",Fashion & Retail
78,CARL ICAHN,84,13.8,United States,investments,Finance & Investments
80,R. BUDI HARTONO,79,13.6,Indonesia,"banking, tobacco",Finance & Investments
81,STEFAN PERSSON,72,13.5,Sweden,H&M,Fashion & Retail
81,DHANIN CHEARAVANONT,80,13.5,Thailand,diversified,Diversified
83,ALISHER USMANOV,66,13.4,Russia,"steel, telecom, investments",Metals & Mining
84,ERIC SCHMIDT,64,13.2,United States,Google,Technology
85,GINA RINEHART,66,13.1,Australia,mining,Metals & Mining
86,ZHANG ZHIDONG,48,13,China,internet media,Technology
86,MIKHAIL FRIDMAN,55,13,Russia,"oil, banking, telecom",Energy
86,WALTER P.J. DROEGE,67,13,Germany,consulting,Service
86,DIETMAR HOPP & FAMILY,79,13,Germany,software,Technology
86,MICHAEL HARTONO,80,13,Indonesia,"banking, tobacco",Manufacturing
91,HEINZ HERMANN THIELE & FAMILY,79,12.9,Germany,brakes,Construction & Engineering
91,HINDUJA BROTHERS,,12.9,United Kingdom,diversified,Diversified
93,CHARLENE DE CARVALHO-HEINEKEN & FAMILY,65,12.8,Netherlands,Heineken,Food & Beverage
94,EMMANUEL BESNIER,49,12.7,France,cheese,Food & Beverage
95,ANDREY MELNICHENKO,48,12.5,Russia,"coal, fertilizers",Energy
96,LI SHUFU,56,12.4,China,automobiles,Automotive
96,HASSO PLATTNER & FAMILY,76,12.4,Germany,software,Technology
98,LIU YONGHAO & FAMILY,68,12.3,China,agribusiness,Service
98,STEFAN QUANDT,53,12.3,Germany,BMW,Automotive
100,KEN GRIFFIN,51,12.1,United States,hedge funds,Finance & Investments
101,WU YAJUN & FAMILY,56,12,China,real estate,Real Estate
101,DAVID TEPPER,62,12,United States,hedge funds,Finance & Investments
103,SHIV NADAR,74,11.9,India,software services,Technology
103,KWONG SIU-HING,90,11.9,Hong Kong,real estate,Real Estate
105,SUN PIAOYANG,61,11.8,China,pharmaceuticals,Healthcare
106,RICARDO SALINAS PLIEGO & FAMILY,64,11.7,Mexico,"retail, media",Fashion & Retail
106,LUI CHE WOO & FAMILY,91,11.7,Hong Kong,casinos/hotels,Gambling & Casinos
108,LI XITING,69,11.6,Singapore,medical devices,Healthcare
108,REINHOLD WUERTH & FAMILY,84,11.6,Germany,fasteners,Manufacturing
110,PANG KANG,64,11.5,China,soy sauce,Food & Beverage
110,PETER WOO,73,11.5,Hong Kong,real estate,Real Estate
110,"JOHN MENARD, JR.",80,11.5,United States,home improvement stores,Fashion & Retail
113,ROMAN ABRAMOVICH,53,11.3,Russia,"steel, investments",Diversified
113,UDO & HARALD TSCHIRA,,11.3,Germany,software,Technology
115,XU HANG,53,11.2,Hong Kong,medical devices,Healthcare
115,MIKHAIL PROKHOROV,54,11.2,Russia,investments,Finance & Investments
117,PALLONJI MISTRY,90,11.1,Ireland,construction,Construction & Engineering
118,ZHANG YONG,49,11,Singapore,restaurants,Food & Beverage
118,PIERRE OMIDYAR,52,11,United States,"eBay, PayPal",Technology
118,GERMAN LARREA MOTA VELASCO & FAMILY,66,11,Mexico,mining,Metals & Mining
118,JAMES RATCLIFFE,67,11,United Kingdom,chemicals,Manufacturing
118,PHILIP ANSCHUTZ,80,11,United States,investments,Finance & Investments
123,ROBERT & PHILIP NG,,10.9,Singapore,real estate,Real Estate
124,ABIGAIL JOHNSON,58,10.8,United States,money management,Finance & Investments
124,IRIS FONTBONA & FAMILY,77,10.8,Chile,mining,Metals & Mining
124,DONALD NEWHOUSE,90,10.8,United States,media,Media & Entertainment
127,VIKTOR VEKSELBERG,62,10.5,Russia,"metals, energy",Energy
127,GRAEME HART,64,10.5,New Zealand,investments,Finance & Investments
129,UDAY KOTAK,61,10.4,India,banking,Finance & Investments
129,JORGE PAULO LEMANN & FAMILY,80,10.4,Brazil,beer,Food & Beverage
129,GOH CHENG LIANG,92,10.4,Singapore,paints,Manufacturing
132,JORN RAUSING,60,10.3,Sweden,packaging,Food & Beverage
133,STEFANO PESSINA,78,10.2,Italy,drugstores,Fashion & Retail
133,HANK & DOUG MEIJER,,10.2,United States,supermarkets,Fashion & Retail
135,SULEIMAN KERIMOV & FAMILY,54,10,Russia,investments,Finance & Investments
135,JOSEPH TSAI,56,10,Canada,e-commerce,Technology
135,STANLEY KROENKE,72,10,United States,"sports, real estate",Sports
138,GORDON MOORE,91,9.8,United States,Intel,Technology
139,JAN KOUM,44,9.7,United States,WhatsApp,Technology
139,ROBIN ZENG,51,9.7,Hong Kong,batteries,Energy
141,ANDREAS STRUENGMANN & FAMILY,70,9.6,Germany,pharmaceuticals,Healthcare
141,THOMAS STRUENGMANN & FAMILY,70,9.6,Germany,pharmaceuticals,Healthcare
141,JOHN FREDRIKSEN,75,9.6,Cyprus,shipping,Logistics
141,ROBERT KUOK,96,9.6,Malaysia,"palm oil, shipping, property",Diversified
145,HUI WING MAU,69,9.5,Hong Kong,real estate,Real Estate
146,DUSTIN MOSKOVITZ,35,9.3,United States,Facebook,Technology
147,LEI JUN,50,9.2,China,smartphones,Technology
147,SUN HONGBIN,57,9.2,United States,real estate,Real Estate
147,QUEK LENG CHAN,78,9.2,Malaysia,"banking, property",Diversified
150,FINN RAUSING,65,9.1,Sweden,packaging,Food & Beverage
150,KIRSTEN RAUSING,67,9.1,Sweden,packaging,Food & Beverage
150,CHAROEN SIRIVADHANABHAKDI,75,9.1,Thailand,"alcohol, real estate",Food & Beverage
153,LUIS CARLOS SARMIENTO,87,9,Colombia,banking,Finance & Investments
153,STEWART AND LYNDA RESNICK,,9,United States,"agriculture, water",Food & Beverage
155,GAUTAM ADANI,57,8.9,India,"commodities, ports",Diversified
155,CHRISTY WALTON,71,8.9,United States,Walmart,Fashion & Retail
157,ZHANG BANGXIN,40,8.8,China,education,Service
157,SUNIL MITTAL & FAMILY,62,8.8,India,telecom,Telecom
159,ANTHONY PRATT,59,8.7,Australia,manufacturing,Manufacturing
160,GERMAN KHAN,58,8.5,Russia,"oil, banking, telecom",Energy
161,EDUARDO SAVERIN,38,8.4,Brazil,Facebook,Technology
162,ZONG QINGHOU,74,8.3,China,beverages,Food & Beverage
162,ALIKO DANGOTE,62,8.3,Nigeria,"cement, sugar",Manufacturing
162,GEORGE SOROS,89,8.3,United States,hedge funds,Finance & Investments
165,RICHARD QIANGDONG LIU,46,8.2,China,e-commerce,Technology
165,LU ZHONGFANG,77,8.2,China,education,Automotive
165,FRIEDHELM LOH,73,8.2,Germany,manufacturing,Manufacturing
165,CYRUS POONAWALLA,78,8.2,India,vaccines,Healthcare
169,MIKE CANNON-BROOKES,40,8,Australia,software,Technology
169,SCOTT FARQUHAR,40,8,Australia,software,Technology
169,XU SHIHUI,62,8,China,"snacks, beverages",Food & Beverage
169,ANDERS HOLCH POVLSEN,47,8,Denmark,fashion retail,Fashion & Retail
169,MICHAEL PLATT,52,8,United Kingdom,hedge funds,Finance & Investments
169,ERNESTO BERTARELLI,54,8,Switzerland,"biotech, investments",Healthcare
169,GONG HONGJIA & FAMILY,55,8,Hong Kong,video surveillance,Finance & Investments
169,CARL COOK,57,8,United States,medical devices,Healthcare
169,ERIC WITTOUCK,73,8,Belgium,Investments,Finance & Investments
169,JERRY JONES,77,8,United States,Dallas Cowboys,Sports
179,WANG WENYIN,52,7.9,China,"mining, copper products",Metals & Mining
179,ZHANG FAN,54,7.9,China,touch screens,Technology
179,ANDREW BEAL,67,7.9,United States,"banks, real estate",Finance & Investments
179,ANN WALTON KROENKE,71,7.9,United States,Walmart,Fashion & Retail
183,SHAHID KHAN,69,7.8,United States,auto parts,Automotive
184,ZHANG JINDONG,57,7.7,China,appliance retailer,Fashion & Retail
185,CHEN BANG,54,7.6,China,hospitals,Healthcare
185,JIANG RENSHENG & FAMILY,66,7.6,China,vaccines,Healthcare
185,KUMAR BIRLA,52,7.6,India,commodities,Diversified
185,BLAIR PARRY-OKEDEN,69,7.6,United States,"media, automotive",Media & Entertainment
185,JIM KENNEDY,72,7.6,United States,"media, automotive",Media & Entertainment
185,DAVID GEFFEN,77,7.6,United States,"movies, record labels",Media & Entertainment
185,STEPHEN ROSS,79,7.6,United States,real estate,Real Estate
185,AUGUST VON FINCK,90,7.6,Germany,investments,Finance & Investments
193,EYAL OFER,69,7.5,Israel,"real estate, shipping",Diversified
193,DAVID DUFFIELD,79,7.5,United States,business software,Technology
193,"THOMAS FRIST, JR. & FAMILY",81,7.5,United States,hospitals,Healthcare
196,JOHN GRAYKEN,63,7.4,Ireland,private equity,Finance & Investments
196,LAKSHMI MITTAL,69,7.4,India,steel,Metals & Mining
196,NIELS PETER LOUIS-HANSEN,72,7.4,Denmark,medical devices,Healthcare
196,NICKY OPPENHEIMER & FAMILY,74,7.4,South Africa,diamonds,Metals & Mining
200,TSE PING,68,7.3,China,pharmaceuticals,Healthcare
200,JOHN DOERR,68,7.3,United States,venture capital,Technology
200,DAVID SHAW,69,7.3,United States,hedge funds,Finance & Investments
200,VIKTOR RASHNIKOV,71,7.3,Russia,steel,Manufacturing
200,MICHAEL KADOORIE,78,7.3,Hong Kong,"hotels, energy",Energy
205,ISKANDER MAKHMUDOV,56,7.2,Russia,"mining, metals, machinery",Metals & Mining
206,PATRICK DRAHI,56,7.1,France,telecom,Telecom
206,NANCY WALTON LAURIE,68,7.1,United States,Walmart,Fashion & Retail
208,ROBERT PERA,42,7,United States,wireless networking gear,Technology
208,RODOLPHE SAADÉ & FAMILY,50,7,France,shipping,Logistics
208,GALEN WESTON & FAMILY,79,7,Canada,retail,Fashion & Retail
211,CAI KUI,57,6.9,China,real estate,Real Estate
211,ZHOU QUNFEI,50,6.9,Hong Kong,smartphone screens,Technology
211,DIANE HENDRICKS,73,6.9,United States,roofing,Construction & Engineering
211,RONALD PERELMAN,77,6.9,United States,leveraged buyouts,Finance & Investments
211,ROBERT KRAFT,78,6.9,United States,New England Patriots,Sports
216,JUDE REYES,64,6.8,United States,food distribution,Food & Beverage
216,J. CHRISTOPHER REYES,66,6.8,United States,food distribution,Food & Beverage
216,SIMON REUBEN,78,6.8,United Kingdom,"real estate, investments",Diversified
216,DAVID REUBEN,81,6.8,United Kingdom,"investments, real estate",Real Estate
216,ELI BROAD,86,6.8,United States,investments,Finance & Investments
221,MA JIANRONG & FAMILY,56,6.7,China,"textiles, apparel",Fashion & Retail
221,ANDREW FORREST,58,6.7,Australia,mining,Metals & Mining
221,CHARLES SCHWAB,82,6.7,United States,discount brokerage,Finance & Investments
224,DANG YANBAO,47,6.6,China,coal,Metals & Mining
224,DMITRY RYBOLOVLEV,53,6.6,Russia,fertilizer,Manufacturing
224,LEON BLACK,68,6.6,United States,private equity,Finance & Investments
224,ISRAEL ENGLANDER,71,6.6,United States,hedge funds,Finance & Investments
224,FRANCIS CHOI,72,6.6,Hong Kong,real estate,Real Estate
224,MASSIMILIANA LANDINI ALEOTTI & FAMILY,77,6.6,Italy,pharmaceuticals,Healthcare
230,KEI HOI PANG,54,6.5,China,real estate,Real Estate
230,ALEXEI KUZMICHEV,57,6.5,Russia,"oil, banking, telecom",Energy
230,DANIEL GILBERT,58,6.5,United States,Quicken Loans,Finance & Investments
230,MARCEL HERRMANN TELLES,70,6.5,Brazil,beer,Food & Beverage
230,JOHANN GRAF,73,6.5,Austria,gambling,Gambling & Casinos
230,GIANLUIGI & RAFAELA APONTE,79,6.5,Switzerland,Shipping,Logistics
230,TOM & JUDY LOVE,82,6.5,United States,retail & gas stations,Fashion & Retail
237,WANG XING,41,6.4,China,e-commerce,Technology
237,PATRICK SOON-SHIONG,67,6.4,United States,pharmaceuticals,Healthcare
237,ALBERTO BAILLERES GONZALEZ & FAMILY,88,6.4,Mexico,mining,Metals & Mining
237,IAN & RICHARD LIVINGSTONE,,6.4,United Kingdom,real estate,Real Estate
241,GEORG SCHAEFFLER,55,6.3,Germany,auto parts,Automotive
241,KIM JUNG-JU,52,6.3,South Korea,online games,Technology
241,SARATH RATANAVADI,54,6.3,Thailand,energy,Energy
241,ANDREI SKOCH & FAMILY,54,6.3,Russia,steel,Metals & Mining
241,LEONID FEDUN & FAMILY,64,6.3,Russia,oil,Energy
241,DAVID GREEN & FAMILY,78,6.3,United States,retail,Fashion & Retail
241,HARRY TRIGUBOFF,87,6.3,Australia,real estate,Real Estate
248,MARIJKE MARS,55,6.2,United States,"candy, pet food",Food & Beverage
248,PAMELA MARS,59,6.2,United States,"candy, pet food",Food & Beverage
248,VALERIE MARS,61,6.2,United States,"candy, pet food",Food & Beverage
248,VICTORIA MARS,63,6.2,United States,"candy, pet food",Food & Beverage
248,STEF WERTHEIMER & FAMILY,93,6.2,Israel,metalworking tools,Manufacturing
253,AGNETE KIRK THINGGAARD,36,6.1,Denmark,Lego,Manufacturing
253,THOMAS KIRK KRISTIANSEN,41,6.1,Denmark,Lego,Manufacturing
253,SOFIE KIRK KRISTIANSEN,44,6.1,Denmark,Lego,Manufacturing
253,CEN JUNDA,55,6.1,China,pharmaceuticals,Healthcare
253,LIANG WENGEN,63,6.1,China,construction equipment,Manufacturing
253,JOHN OVERDECK,50,6.1,United States,hedge funds,Finance & Investments
253,XAVIER NIEL,52,6.1,France,"internet, telecom",Telecom
253,DAVID SIEGEL,58,6.1,United States,hedge funds,Finance & Investments
253,SEO JUNG-JIN,62,6.1,South Korea,biotech,Healthcare
253,DILIP SHANGHVI,64,6.1,India,pharmaceuticals,Healthcare
253,KJELD KIRK KRISTIANSEN,72,6.1,Denmark,Lego,Manufacturing
253,AZIM PREMJI,74,6.1,India,software services,Technology
253,JAMES GOODNIGHT,77,6.1,United States,software,Technology
266,FAN HONGWEI & FAMILY,53,6,China,petrochemicals,Energy
266,YU RENRONG,54,6,China,semiconductors,Manufacturing
268,LENG YOUBIN,51,5.9,China,dairy,Food & Beverage
268,LIU YONGXING,71,5.9,China,diversified,Service
268,JAMES DYSON,72,5.9,United Kingdom,vacuums,Manufacturing
268,"HERBERT KOHLER, JR. & FAMILY",81,5.9,United States,plumbing fixtures,Manufacturing
268,ALAIN MERIEUX & FAMILY,82,5.9,France,pharmaceuticals,Healthcare
268,BENU GOPAL BANGUR,88,5.9,India,cement,Manufacturing
274,YAO ZHENHUA & FAMILY,50,5.8,China,conglomerate,Diversified
274,CHAN LAIWA & FAMILY,79,5.8,China,real estate,Real Estate
274,MARC BENIOFF,55,5.8,United States,business software,Technology
274,FREDERIK PAULSEN,69,5.8,Sweden,health care,Healthcare
274,STEVEN RALES,69,5.8,United States,manufacturing,Manufacturing
274,JOHN MALONE,79,5.8,United States,cable television,Media & Entertainment
280,WANG WENJING,55,5.7,China,business software,Technology
280,RUAN XUEPING,48,5.7,Hong Kong,power strip,Manufacturing
280,TOM GORES,55,5.7,United States,private equity,Finance & Investments
280,RUAN LIPING,56,5.7,Hong Kong,power strips,Manufacturing
280,ANDREAS VON BECHTOLSHEIM & FAMILY,64,5.7,Germany,Google,Technology
280,RALPH LAUREN,80,5.7,United States,apparel,Fashion & Retail
286,PHAM NHAT VUONG,51,5.6,Vietnam,diversified,Diversified
286,MARIA ASUNCION ARAMBURUZABALA & FAMILY,56,5.6,Mexico,"beer, investments",Food & Beverage
286,MIKE ADENUGA,66,5.6,Nigeria,"telecom, oil",Diversified
286,MANUEL VILLAR,70,5.6,Philippines,real estate,Real Estate
286,LAW KAR PO,71,5.6,Hong Kong,real estate,Real Estate
286,MELKER SCHORLING & FAMILY,72,5.6,Sweden,investments,Finance & Investments
286,GEORGE KAISER,77,5.6,United States,"oil & gas, banking",Energy
293,ERIC YUAN & FAMILY,50,5.5,United States,video conferencing,Technology
293,SANDRA ORTEGA MERA,51,5.5,Spain,Zara,Fashion & Retail
293,ALEXANDER ABRAMOV,61,5.5,Russia,"steel, mining",Metals & Mining
293,DAVID CHERITON,69,5.5,Canada,Google,Technology
293,TERRY GOU,69,5.5,Taiwan,electronics,Technology
293,ANTONIA AX:SON JOHNSON & FAMILY,76,5.5,Sweden,diversified,Diversified
293,WOLFGANG MARGUERRE & FAMILY,78,5.5,Germany,pharmaceuticals,Healthcare
293,DENNIS WASHINGTON,85,5.5,United States,"construction, mining",Logistics
293,HANSJOERG WYSS,85,5.5,Switzerland,medical devices,Healthcare
293,ROBERT WARREN MILLER,86,5.5,United Kingdom,retail,Fashion & Retail
293,TANG SHING-BOR,86,5.5,Hong Kong,real estate,Real Estate
304,ZENG FANGQIN,54,5.4,China,smartphone components,Technology
304,CHARLES ERGEN,67,5.4,United States,satellite TV,Media & Entertainment
304,GIORGIO ARMANI,85,5.4,Italy,luxury goods,Fashion & Retail
304,"EDWARD JOHNSON, III.",89,5.4,United States,money management,Finance & Investments
308,LAI MEISONG,49,5.3,China,package delivery,Logistics
308,TSAI ENG-MENG,63,5.3,Taiwan,"food, beverages",Food & Beverage
308,REINHOLD SCHMIEDING,65,5.3,United States,medical devices,Healthcare
308,BRUCE KOVNER,75,5.3,United States,hedge funds,Finance & Investments
308,GEORGE ROBERTS,76,5.3,United States,private equity,Finance & Investments
308,LAURENCE GRAFF & FAMILY,81,5.3,United Kingdom,diamond jewelry,Fashion & Retail
308,SILVIO BERLUSCONI & FAMILY,83,5.3,Italy,media,Diversified
315,LIN LI,56,5.2,China,investments,Finance & Investments
315,TAKAHISA TAKAHARA,58,5.2,Japan,personal care goods,Fashion & Retail
315,CLIVE CALDER,73,5.2,United Kingdom,record label,Media & Entertainment
315,RICHARD KINDER,75,5.2,United States,pipelines,Energy
315,HENRY KRAVIS,76,5.2,United States,private equity,Finance & Investments
320,WANG LAICHUN,52,5.1,China,electronics components,Technology
320,DU WEIMIN,56,5.1,China,vaccines,Healthcare
320,HUANG CHULONG,61,5.1,Canada,real estate,Real Estate
320,JAMES CHAMBERS,62,5.1,United States,"media, automotive",Media & Entertainment
320,"PAUL TUDOR JONES, II.",65,5.1,United States,hedge funds,Finance & Investments
320,MICKY ARISON,70,5.1,United States,Carnival Cruises,Service
320,KATHARINE RAYNER,75,5.1,United States,"media, automotive",Media & Entertainment
320,NUSLI WADIA,76,5.1,India,consumer goods,Food & Beverage
320,MARGARETTA TAYLOR,77,5.1,United States,"media, automotive",Media & Entertainment
320,KULDIP SINGH & GURBACHAN SINGH DHINGRA,,5.1,India,paints,Manufacturing
330,WANG LAISHENG,55,5,China,electronics components,Technology
330,DANIEL ZIFF,48,5,United States,investments,Finance & Investments
330,JAY Y. LEE,51,5,South Korea,Samsung,Diversified
330,MAGDALENA MARTULLO-BLOCHER,51,5,Switzerland,chemicals,Manufacturing
330,ALEXANDER OTTO,52,5,Germany,real estate,Real Estate
330,CHRISTOPHER HOHN,53,5,United Kingdom,hedge funds,Finance & Investments
330,LI GE,53,5,United States,biotech,Healthcare
330,ROBERT ZIFF,53,5,United States,investments,Finance & Investments
330,DIRK ZIFF,56,5,United States,investments,Finance & Investments
330,ROBERT F. SMITH,57,5,United States,private equity,Finance & Investments
330,NASSEF SAWIRIS,59,5,Egypt,"construction, chemicals",Construction & Engineering
330,TERRENCE PEGULA,69,5,United States,natural gas,Energy
330,BERTIL HULT,79,5,Sweden,education,Service
330,WEE CHO YAW,91,5,Singapore,banking,Finance & Investments
330,KWEE BROTHERS,,5,Singapore,Real Estate,Real Estate
345,RAHEL BLOCHER,44,4.9,Switzerland,chemicals,Manufacturing
345,MARK SCHEINBERG,46,4.9,Canada,online gambling,Gambling & Casinos
345,ROBIN LI,51,4.9,China,internet search,Technology
345,KAREN PRITZKER,62,4.9,United States,"hotels, investments",Service
349,FRANK WANG,39,4.8,China,drones,Technology
349,CHEN DONGSHENG,62,4.8,China,insurance,Finance & Investments
349,ANDREAS HALVORSEN,58,4.8,Norway,hedge funds,Finance & Investments
349,ANDREI KOZITSYN,59,4.8,Russia,metals,Metals & Mining
349,BIDZINA IVANISHVILI,64,4.8,Georgia,investments,Finance & Investments
349,WOLFGANG HERZ,69,4.8,Germany,coffee,Fashion & Retail
349,SAVITRI JINDAL & FAMILY,70,4.8,India,steel,Metals & Mining
349,CARLOS ALBERTO SICUPIRA & FAMILY,72,4.8,Brazil,beer,Food & Beverage
349,MICHAEL HERZ,76,4.8,Germany,coffee,Fashion & Retail
349,SAM ZELL,78,4.8,United States,"real estate, private equity",Real Estate
349,PAULINE MACMILLAN KEINATH,86,4.8,United States,Cargill,Food & Beverage
349,FRANK LOWY,89,4.8,Australia,shopping malls,Real Estate
361,RENE BENKO,43,4.7,Austria,"real estate, retail",Real Estate
361,MARIE-HÉLÈNE HABERT,55,4.7,France,diversified,Diversified
361,MATTHIAS REIMANN-ANDERSEN,55,4.7,Germany,consumer goods,Fashion & Retail
361,STEFAN REIMANN-ANDERSEN,56,4.7,Germany,consumer goods,Fashion & Retail
361,JENSEN HUANG,57,4.7,United States,semiconductors,Technology
361,THIERRY DASSAULT,63,4.7,France,diversified,Diversified
361,LAURENT DASSAULT,66,4.7,France,diversified,Diversified
361,STANLEY DRUCKENMILLER,66,4.7,United States,hedge funds,Finance & Investments
361,WOLFGANG REIMANN,67,4.7,Germany,consumer goods,Fashion & Retail
361,OLIVIER DASSAULT,68,4.7,France,diversified,Diversified
361,FREDRIK LUNDBERG,68,4.7,Sweden,"real estate, investments",Real Estate
361,RENATE REIMANN-HAAS,68,4.7,Germany,consumer goods,Fashion & Retail
361,JIM DAVIS & FAMILY,76,4.7,United States,New Balance,Manufacturing
361,ANANDA KRISHNAN,82,4.7,Malaysia,"telecoms, media, oil-services",Telecom
375,JEFF SKOLL,55,4.6,United States,eBay,Technology
375,PYOTR AVEN,65,4.6,Russia,"oil, banking, telecom",Energy
375,JOHANN RUPERT & FAMILY,69,4.6,South Africa,luxury goods,Fashion & Retail
375,GEORGE LUCAS,75,4.6,United States,Star Wars,Media & Entertainment
375,ARTHUR BLANK,77,4.6,United States,Home Depot,Sports
375,JOE LEWIS,83,4.6,United Kingdom,investments,Finance & Investments
375,BERNARD MARCUS,90,4.6,United States,Home Depot,Fashion & Retail
375,CHARLES DOLAN & FAMILY,93,4.6,United States,cable television,Media & Entertainment
383,"CHASE COLEMAN, III.",44,4.5,United States,hedge fund,Finance & Investments
